County,FIPS,"Suicide Rate per 100,000 (2023)",Frequent mental distress among adults (%) (2022),Depression Prevalence (%) (2022),2023 Total Violent Crimes Reported,"2023 Reported Violent Crime Rate per 100,000 Population",2023 Total Property Crimes Reported,"2023 Reported Property Crime Rate per 100,000 Population","Low birthweight births (< 2.5kg), 2015019","Premature births (< 37 weeks), 2015019","Births to teens ages 15019, 2015019","Births to mothers with < 12yrs education, 2015019","Pregnancies, 2024","Infant deaths, 2024",PovertyRate,Children 0-17,Seniors 65+,Housing Units Receiving SNAP
Appling County,13001,11,18.3,21.9,22,119,197,"1,065.20",110,140,150,269,241,2,108.9201,4694,2456,1271
Atkinson County,13003,10.74,19.8,22.9,9,110.6,49,602.3,50,52,73,185,138,0,97.30827,2430,890,590
Bacon County,13005,12.57,20.2,24.4,12,106.6,101,897.4,82,84,71,191,176,2,81.45348,2826,1480,728
Baker County,13007,12.46,16.6,20,0,0,0,0,14,18,13,29,35,0,38.17651,801,530,149
Baldwin County,13009,16.4,19.6,22.2,209,478.9,"1,068","2,447.30",251,272,159,328,483,1,257.2481,9351,5508,2480
Banks County,13011,16.24,19.8,24.3,16,79.9,128,639.3,78,113,65,180,293,3,54.28807,4643,2300,857
Barrow County,13013,17.4,17.7,22.1,152,164.7,"1,093","1,184.60",399,545,236,569,1496,0,228.8591,19589,6472,3531
Bartow County,13015,19,17.6,21.5,270,235.1,"1,701","1,481.20",513,766,475,1228,1726,12,205.523,26800,10611,4977
Ben Hill County,13017,21.3,20,23.2,156,914.8,461,"2,703.30",162,139,130,265,215,1,143.7195,4668,2468,1217
Berrien County,13019,18.9,18.8,23.8,57,311.8,280,"1,531.60",148,145,115,219,233,0,153.7155,4939,2664,1602
Bibb County,13021,15.3,18.5,21.2,"2,100","1,345.40","6,191","3,966.40",1399,1450,868,1882,2377,19,1370.654,40119,19689,11779
Bleckley County,13023,16.16,18,22,28,230.5,189,"1,555.70",62,81,59,93,145,2,68.90787,2949,1971,749
Brantley County,13025,23.5,19.1,24.6,43,235.1,252,"1,378.00",106,142,139,254,218,2,72.08715,4893,2260,1391
Brooks County,13027,12.59,18.9,22.2,28,172,131,804.8,109,106,85,186,208,1,131.3423,3850,2560,1141
Bryan County,13029,21.9,17,23.1,44,88,366,732,199,235,101,142,595,1,89.82244,8857,2715,1009
Bulloch County,13031,11,19.4,22.6,162,190.9,"1,231","1,450.90",450,586,287,561,1008,6,378.2657,14393,6401,4513
Burke County,13033,12.81,18.4,20.9,60,246.8,358,"1,472.40",192,203,129,280,349,5,142.7937,6585,2767,1791
Butts County,13035,28.3,18.4,21.4,23,84.3,149,546.4,130,154,94,190,343,3,71.82579,5325,2985,1639
Calhoun County,13037,5.82,19.6,18.7,10,184.2,38,700.1,25,37,26,36,48,0,52.04804,1320,797,645
Camden County,13039,15.9,19,23.5,131,225.1,593,"1,018.90",311,396,182,308,731,4,123.7223,13652,4556,2350
Candler County,13043,15.68,19.5,23.1,23,208.9,161,"1,462.30",81,88,67,198,138,1,97.31658,2819,1584,841
